答案1：  51
答案383：  148/387
答案384：  5184
答案385：  2/7
答案386：  1328/41
答案387：  6229/5394
答案388：  -44
答案389：  44
答案390：  16
答案391：  6311/7272
答案392：  -54
答案393：  1/1250
答案394：  -223/15
答案395：  18/7
答案396：  5061/89
答案397：  1156/707
答案398：  1873/71
答案399：  793/1533
答案400：  2431/2590
答案401：  8/9
答案402：  247/8787
答案403：  1804
答案404：  -3227/46
答案405：  31
答案406：  -14
答案407：  3
答案408：  349/26
答案409：  955/99
答案410：  -20
答案411：  57
答案412：  -1753/43
答案413：  -3682/45
答案414：  38
答案415：  1219/902
答案416：  5510/99
答案417：  -35/114
答案418：  3474/47
答案419：  4/27
答案420：  76/7
答案421：  13163/7566
答案422：  -14
答案423：  2707/4880
答案424：  169
答案425：  1140/59
答案426：  -4903/70
答案427：  6091/86
答案428：  1784/53
答案429：  73/5
答案430：  4409/65
答案431：  2/19
答案432：  43
答案433：  3777/49
答案434：  731/47
答案435：  -40
答案436：  52/3
答案437：  -179/3
答案438：  1/8
答案439：  14162/7979
答案440：  3335/51
答案441：  43/6
答案442：  -17/50
答案443：  32
答案444：  43
答案445：  -3945/43
答案446：  5/54
答案447：  17780/9999
答案448：  2669/7315
答案449：  19/4
答案450：  2319/47
答案451：  131
答案452：  9582/101
答案453：  80
答案454：  5669/86
答案455：  159/4
答案456：  19
答案457：  2966/41
答案458：  3329/4140
答案459：  1607/1800
答案460：  3608/7031
答案461：  117
答案462：  1425/101
答案463：  4922/67
答案464：  175
答案465：  -26
答案466：  -222/5
答案467：  751/95
答案468：  3920/5041
答案469：  -2330/101
答案470：  -72
答案471：  2
答案472：  2895/98
答案473：  1
答案474：  -2003/31
答案475：  4
答案476：  367/280
答案477：  -5581/93
答案478：  229/62
答案479：  59/27
答案480：  1504/19
答案481：  1026/43
答案482：  9
答案483：  59/575
答案484：  1032/25
答案485：  -12
答案486：  2958/35
答案487：  133
答案488：  2
答案489：  -47
答案490：  910/79
答案491：  723/427
答案492：  3899/100
答案493：  19/72
答案494：  3/2
答案495：  989/45
答案496：  62
答案497：  12/13
答案498：  612/35
答案499：  106/369
答案500：  29/40
答案501：  -1562/2349
答案502：  2726
答案503：  190/7
答案504：  1/17
答案505：  2557/36
答案506：  2
答案507：  699/35
答案508：  2329/25
答案509：  -2258/93
答案510：  166/19
答案511：  1/68
答案512：  1468/65
答案513：  -2316/3131
答案514：  17343/8989
答案515：  5873/87
答案516：  52
答案517：  3046/77
答案518：  3492/83
答案519：  7586/93
答案520：  1840
答案521：  136
答案522：  -31
答案523：  1836
答案524：  5/2
答案525：  4875/98
答案526：  1/12
答案527：  1241/30
答案528：  448/33
答案529：  2835
答案530：  12/23
答案531：  31/924
答案532：  2976/6565
答案533：  16/35
答案534：  328/595
答案535：  18/11
答案536：  40
答案537：  4
答案538：  105
答案539：  -353/6097
答案540：  5
答案541：  7/8
答案542：  167/33
答案543：  182/4089
答案544：  891/10
答案545：  -9600/101
答案546：  1333/1079
答案547：  78
答案548：  -5830/97
答案549：  996/25
答案550：  550
答案551：  -4771/68
答案552：  5697/3100
答案553：  1107/1060
答案554：  27/41
答案555：  130/7
答案556：  13/2
答案557：  1196/101
答案558：  1095/71
答案559：  310/17
答案560：  2241/101
答案561：  2260/47
答案562：  338/19
答案563：  3003
答案564：  -2289/44
答案565：  117/505
答案566：  -55/52
答案567：  1504/101
答案568：  6816/101
答案569：  6053/3404
答案570：  969/6314
答案571：  6257/98
答案572：  2
答案573：  447/5
答案574：  17
答案575：  3760/4059
答案576：  23/10
答案577：  2093/33
答案578：  6/11
答案579：  195
答案580：  4012
答案581：  -1692/89
答案582：  957/1196
答案583：  4042
答案584：  7744/7395
答案585：  14
答案586：  2216/1953
答案587：  -794/11
答案588：  3
答案589：  43/3
答案590：  3995/44
答案591：  4409/85
答案592：  900/101
答案593：  -4852/97
答案594：  14
答案595：  10350/5353
答案596：  209/123
答案597：  24/19
答案598：  -639/97
答案599：  885/23
答案600：  1864/1455
答案601：  29
答案602：  41
答案603：  8
答案604：  880/47
答案605：  109/96
答案606：  -4300/101
答案607：  24/97
答案608：  97/3
答案609：  1995/101
答案610：  8665/91
答案611：  205/21
答案612：  705/31
答案613：  7821
答案614：  1400/93
答案615：  8344/87
答案616：  240/23
答案617：  53/85
答案618：  106
答案619：  743/9
答案620：  -127/1104
答案621：  80
答案622：  -32
答案623：  391/7
答案624：  5888
答案625：  -2578/33
答案626：  113/170
答案627：  160/429
答案628：  2971/44
答案629：  -5900/101
答案630：  2211/59
答案631：  -52
答案632：  2/31
答案633：  6401/80
答案634：  -2823/5353
答案635：  55/58
答案636：  312
答案637：  43/13
答案638：  5684/101
答案639：  7880/79
答案640：  3/31
答案641：  -6
答案642：  11/76
答案643：  9/2
答案644：  1357/8712
答案645：  7
答案646：  -689/1200
答案647：  16918/8645
答案648：  -65
答案649：  27
答案650：  768/23
答案651：  17/10
答案652：  2389/33
答案653：  12347/7350
答案654：  41
答案655：  703/29
答案656：  144/17
答案657：  5265/89
答案658：  -56
答案659：  133
答案660：  -26/69
答案661：  129/371
答案662：  139
答案663：  483/17
答案664：  4459/86
答案665：  69/104
答案666：  125
答案667：  52
答案668：  1734
答案669：  35
答案670：  34/63
答案671：  -9689/101
答案672：  95/6
答案673：  1887/88
答案674：  -14
答案675：  1346/25
答案676：  120/551
答案677：  1064/23
答案678：  28
答案679：  99
答案680：  8342/99
答案681：  2208
答案682：  1725/97
答案683：  1/25
答案684：  2340
答案685：  2247/25
答案686：  271/252
答案687：  9/8
答案688：  2531/88
答案689：  -734/4095
答案690：  1311/814
答案691：  1560
答案692：  8/31
答案693：  -353/616
答案694：  136
答案695：  7327/92
答案696：  8/43
答案697：  -35
答案698：  133
答案699：  385/41
答案700：  2079/40
答案701：  -20
答案702：  3
答案703：  58/9
答案704：  45/4
答案705：  7/16
答案706：  -45
答案707：  43/21
答案708：  16/7
答案709：  3053/48
答案710：  603/14
答案711：  1952/43
答案712：  14
答案713：  -304/45
答案714：  3359/96
答案715：  -15
答案716：  17/56
答案717：  3001/39
答案718：  634/45
答案719：  6/13
答案720：  329/1032
答案721：  3626/4141
答案722：  2285/66
答案723：  28
答案724：  3307/39
答案725：  14
答案726：  1364/29
答案727：  98
答案728：  982/97
答案729：  528
答案730：  2/5
答案731：  4891/51
答案732：  -47/814
答案733：  15
答案734：  13
答案735：  4160/99
答案736：  1814/987
答案737：  47/3
答案738：  142
答案739：  7
答案740：  98
答案741：  -122/27
答案742：  -20
答案743：  -783/3782
答案744：  37
答案745：  760/4653
答案746：  11
答案747：  127
答案748：  5844/67
答案749：  -19
答案750：  79/21
答案751：  -602/2627
答案752：  -52/899
答案753：  95
答案754：  8769/97
答案755：  24
答案756：  1001/19
答案757：  3069/38
答案758：  2
答案759：  6559/94
答案760：  10/11
答案761：  225/343
答案762：  5/51
答案763：  2/21
答案764：  4
答案765：  132/215
答案766：  9/17
答案767：  1
答案768：  1166/17
答案769：  1/2
答案770：  1
答案771：  1665/46
答案772：  3618/49
答案773：  28/15
答案774：  11/4
答案775：  404/265
答案776：  106
答案777：  696/1147
答案778：  899/2134
答案779：  83
答案780：  8919/94
答案781：  7/9
答案782：  3520/51
答案783：  61/152
答案784：  7100/8787
答案785：  2484/61
答案786：  4/23
答案787：  170
答案788：  2170/8811
答案789：  11
答案790：  85/144
答案791：  6911/93
答案792：  -20
答案793：  5
答案794：  -5525/87
答案795：  562/7
答案796：  522/101
答案797：  1
答案798：  9/65
答案799：  13
答案800：  182/17
答案801：  882/23
答案802：  -187/5858
答案803：  14/17
答案804：  2789/85
答案805：  6233/83
答案806：  22/13
答案807：  3483/3838
答案808：  -2115/31
答案809：  1300/57
答案810：  23
答案811：  7149/100
答案812：  1/441
答案813：  53
答案814：  3189/4343
答案815：  61
答案816：  2914
答案817：  3/13
答案818：  -3169/5621
答案819：  35/6603
答案820：  252
答案821：  705/56
答案822：  1085/13
答案823：  1260
答案824：  6895/92
答案825：  7/67
答案826：  47
答案827：  87
答案828：  809/483
答案829：  100
答案830：  1805/42
答案831：  60
答案832：  10
答案833：  1827
答案834：  -515/744
答案835：  871/19
答案836：  3/83
答案837：  1
答案838：  5
答案839：  86/7
答案840：  9649/97
答案841：  12
答案842：  7123/5626
答案843：  7/13
答案844：  2117/81
答案845：  32
答案846：  517/45
答案847：  31
答案848：  40
答案849：  139/80
答案850：  3444
答案851：  -13
答案852：  164/105
答案853：  10
答案854：  -1843/6320
答案855：  -2771/4277
答案856：  961/520
答案857：  30
答案858：  29
答案859：  105
答案860：  122
答案861：  247/180
答案862：  291/89
答案863：  -245/3186
答案864：  16
答案865：  185
答案866：  47
答案867：  2716/55
答案868：  2991/38
答案869：  3
答案870：  -15/32
答案871：  -3451/62
答案872：  149/20
答案873：  4859/87
答案874：  -1253/2294
答案875：  -14
答案876：  175/23
答案877：  300/11
答案878：  6/11
答案879：  7519/8514
答案880：  283/4
答案881：  7731/8188
答案882：  6065/88
答案883：  106
答案884：  960
答案885：  610/2967
答案886：  6143/94
答案887：  143/1634
答案888：  11770/7347
答案889：  185/1034
答案890：  5/92
答案891：  14
答案892：  1650/23
答案893：  27
答案894：  -3048/67
答案895：  964/99
答案896：  2
答案897：  152/111
答案898：  2370
答案899：  1479/3286
答案900：  11/24
答案901：  640/101
答案902：  31/16
答案903：  230/9
答案904：  3621/94
答案905：  386/247
答案906：  2808
答案907：  2660/3483
答案908：  3
答案909：  1
答案910：  1/9
答案911：  -277/8
答案912：  9212/101
答案913：  429
答案914：  12
答案915：  667
答案916：  -3337/8811
答案917：  117/352
答案918：  4088/81
答案919：  -1309/100
答案920：  247
答案921：  1
答案922：  8/11
答案923：  11/1800
答案924：  481
答案925：  2
答案926：  2759/3731
答案927：  51
答案928：  -2531/47
答案929：  1584/49
答案930：  170
答案931：  2/9
答案932：  422/33
答案933：  159
答案934：  7/11
答案935：  1575/2728
答案936：  383/380
答案937：  882/89
答案938：  7333/3854
答案939：  12/19
答案940：  26/75
答案941：  125/13
答案942：  -60
答案943：  -11/284
答案944：  147/3190
答案945：  5
答案946：  226/3135
答案947：  1575/3526
答案948：  5363/94
答案949：  25/17
答案950：  276/29
答案951：  -2909/30
答案952：  1408
答案953：  -3569/99
答案954：  1249/1212
答案955：  8/237
答案956：  139/25
答案957：  3081/62
答案958：  3001/67
答案959：  5/3
答案960：  3113/40
答案961：  2401/75
答案962：  100/37
答案963：  116/1325
答案964：  4/21
答案965：  44/3
答案966：  2
答案967：  1375/89
答案968：  29
答案969：  8
答案970：  5945/84
答案971：  33/8
答案972：  -19
答案973：  12/59
答案974：  297/86
答案975：  1187/900
答案976：  45/7
答案977：  2/25
答案978：  552/31
答案979：  1/144
答案980：  8/11
答案981：  31
答案982：  349/315
答案983：  94
答案984：  47
答案985：  5529/61
答案986：  6/11
答案987：  -2
答案988：  5/21
答案989：  2968/55
答案990：  5552/63
答案991：  8415
答案992：  -2899/41
答案993：  29/171
答案994：  1/47
答案995：  62/25
答案996：  135
答案997：  18
答案998：  -774/101
答案999：  4
答案1000：  11909/6612
答案1001：  200/3
答案1002：  208/11
答案1003：  1
答案1004：  1650/47
答案1005：  324/713
答案1006：  4379/50
答案1007：  5513/92
答案1008：  164/759
答案1009：  2
答案1010：  -187/41
答案1011：  27/29
答案1012：  2093/44
答案1013：  11/23
答案1014：  41/3
答案1015：  4603/99
答案1016：  77
答案1017：  573/77
答案1018：  120
答案1019：  22/13
答案1020：  8214/85
答案1021：  14921/8372
答案1022：  1483/1840
答案1023：  3
答案1024：  2/49
答案1025：  158/3
答案1026：  31
答案1027：  1747/2760
答案1028：  63
答案1029：  761/9
答案1030：  4
答案1031：  292
答案1032：  83/3
答案1033：  441/790
答案1034：  133
答案1035：  42
答案1036：  3770/57
答案1037：  98
答案1038：  328/25
答案1039：  6/25
答案1040：  6709/5251
答案1041：  45/152
答案1042：  38/13
答案1043：  60
答案1044：  173/651
答案1045：  4/37
答案1046：  371/800
答案1047：  2745/83
答案1048：  60
答案1049：  1
答案1050：  5869/97
答案1051：  55/2
答案1052：  110
答案1053：  439/259
答案1054：  4216/91
答案1055：  7/384
答案1056：  437
答案1057：  17/162
答案1058：  3772
答案1059：  104
答案1060：  8/5
答案1061：  94/7
答案1062：  5689/77
答案1063：  5/53
答案1064：  2295/7979
答案1065：  13/18
答案1066：  912
答案1067：  287/258
答案1068：  63
答案1069：  11/24
答案1070：  496
答案1071：  585/16
答案1072：  1695/22
答案1073：  2432
答案1074：  1078/93
答案1075：  6815/3492
答案1076：  1/12
答案1077：  4015
答案1078：  1848/85
答案1079：  6030
答案1080：  5
答案1081：  152
答案1082：  722/63
答案1083：  61
答案1084：  -7
答案1085：  3360
答案1086：  48
答案1087：  2300/33
答案1088：  -187/632
答案1089：  -429/25
答案1090：  -3
答案1091：  193
答案1092：  -173/252
答案1093：  6/53
答案1094：  1247/1504
答案1095：  660
答案1096：  177/53
答案1097：  517/97
答案1098：  30
答案1099：  3610
答案1100：  -50
答案1101：  2599/34
答案1102：  2000/99
答案1103：  -5744/97
答案1104：  14/11
答案1105：  1025/92
答案1106：  3775/69
答案1107：  -5137/94
答案1108：  2975/36
答案1109：  276/5
答案1110：  17
答案1111：  5
答案1112：  27
答案1113：  12673/8184
答案1114：  77
答案1115：  6/7
答案1116：  5/11
答案1117：  3201/50
答案1118：  4876/59
答案1119：  607/8
答案1120：  2
答案1121：  50
答案1122：  1618/89
答案1123：  31/10
答案1124：  1
答案1125：  594
答案1126：  132
答案1127：  2663/46
答案1128：  148/1653
答案1129：  1681/1890
答案1130：  509/52
答案1131：  5/3
答案1132：  1/91
答案1133：  71/3
答案1134：  -1007/20
答案1135：  99
答案1136：  38/7
答案1137：  5459/70
答案1138：  1600/41
答案1139：  4025/76
答案1140：  -80
答案1141：  11/5
答案1142：  8606/99
答案1143：  28
答案1144：  2
答案1145：  1127/30
答案1146：  4/81
答案1147：  213/50
答案1148：  31
答案1149：  2053/33
答案1150：  0
答案1151：  2199/95
答案1152：  24
答案1153：  11/19
答案1154：  2
答案1155：  3168
答案1156：  1184
答案1157：  392/81
答案1158：  4
答案1159：  58/117
答案1160：  403/532
答案1161：  36
答案1162：  230/21
答案1163：  5312/77
答案1164：  5
答案1165：  4707/5353
答案1166：  -58/141
答案1167：  135
答案1168：  100/7
答案1169：  1517/4332
答案1170：  35/3
答案1171：  75/44
答案1172：  8/5
答案1173：  2230/97
答案1174：  19
答案1175：  6/17
答案1176：  1
答案1177：  -3807/55
答案1178：  23/14
答案1179：  11/89
答案1180：  138
答案1181：  3098/55
答案1182：  1501/1287
答案1183：  4608/101
答案1184：  164
答案1185：  30
答案1186：  160
答案1187：  -32
答案1188：  14/23
答案1189：  -311/1586
答案1190：  1518
答案1191：  1621/1645
答案1192：  189/6208
答案1193：  1/58
答案1194：  47/2
答案1195：  1/51
答案1196：  -7
答案1197：  25/4
答案1198：  56/31
答案1199：  510/77
答案1200：  12/5
答案1201：  1205/43
答案1202：  -2899/38
答案1203：  2/85
答案1204：  11/7
答案1205：  46/3
答案1206：  4524
答案1207：  355/8
答案1208：  3360/5429
答案1209：  -753/16
答案1210：  65
答案1211：  98/9
答案1212：  119/41
答案1213：  3/28
答案1214：  2/25
答案1215：  1851/88
答案1216：  5822
答案1217：  4361/47
答案1218：  66/5
答案1219：  5125/87
答案1220：  611/646
答案1221：  3385/39
答案1222：  132
答案1223：  2262/95
答案1224：  12
答案1225：  29
答案1226：  116/77
答案1227：  64
答案1228：  3198/8585
答案1229：  8/53
答案1230：  1
答案1231：  2706
答案1232：  227/36
答案1233：  21/44
答案1234：  9212/10201
答案1235：  2187/83
答案1236：  372
答案1237：  17/72
答案1238：  -85/1692
答案1239：  4056/97
答案1240：  6623/99
答案1241：  3425/72
答案1242：  3/47
答案1243：  -8276/97
答案1244：  143
答案1245：  281/644
答案1246：  -1480/49
答案1247：  9/58
答案1248：  39
答案1249：  846/35
答案1250：  -10
答案1251：  -9/32
答案1252：  8281/90
答案1253：  21
答案1254：  69/2
答案1255：  2418
答案1256：  5/3
答案1257：  5766
答案1258：  553/2945
答案1259：  1275/1274
答案1260：  5
答案1261：  -31/300
答案1262：  76/3
答案1263：  2911/44
答案1264：  92
答案1265：  861/16
答案1266：  665/792
答案1267：  55/186
答案1268：  -39
答案1269：  3/11
答案1270：  2
答案1271：  12
答案1272：  55
答案1273：  -1199/97
答案1274：  18/5
答案1275：  -358/2021
答案1276：  92
答案1277：  46
答案1278：  7/12
答案1279：  720
答案1280：  3/7
答案1281：  -92
答案1282：  31/111
答案1283：  6630
答案1284：  7/20
答案1285：  7279/91
答案1286：  7310/8787
答案1287：  157/810
答案1288：  2197/63
答案1289：  28/23
答案1290：  37
答案1291：  1
答案1292：  17
答案1293：  150
答案1294：  1925/79
答案1295：  -2531/97
答案1296：  1/8
答案1297：  857/1248
答案1298：  278/25
答案1299：  -65
答案1300：  -6460/67
答案1301：  445/18
答案1302：  1/21
答案1303：  949/16
答案1304：  101/5
答案1305：  2856
答案1306：  960
答案1307：  1/52
答案1308：  26
答案1309：  11
答案1310：  58
答案1311：  -8
答案1312：  1/20
答案1313：  493
答案1314：  67/2
答案1315：  3207/2525
答案1316：  145
答案1317：  -42
答案1318：  5547/71
答案1319：  1887/73
答案1320：  3
答案1321：  217/18
答案1322：  1711/4312
答案1323：  12
答案1324：  297/500
答案1325：  1296/4949
答案1326：  -7
答案1327：  26
答案1328：  1815/32
答案1329：  41/2
答案1330：  10
答案1331：  1
答案1332：  466/95
答案1333：  2691/2926
答案1334：  7471/83
答案1335：  1/87
答案1336：  -8067/98
答案1337：  140
答案1338：  5/12
答案1339：  5307/97
答案1340：  23/2
答案1341：  92
答案1342：  763/1067
答案1343：  41/96
答案1344：  1415/34
答案1345：  95
答案1346：  8
答案1347：  68
答案1348：  9118/99
答案1349：  327/7
答案1350：  2435/6248
答案1351：  4663/2668
答案1352：  5233/95
答案1353：  34/9
答案1354：  3
答案1355：  -35
答案1356：  11
答案1357：  117/20
答案1358：  507/17
答案1359：  -4041/101
答案1360：  2236/41
答案1361：  350/639
答案1362：  3432
答案1363：  1233/13
答案1364：  6000/101
答案1365：  3249/53
答案1366：  -2672/29
答案1367：  114
答案1368：  216
答案1369：  102
答案1370：  6
答案1371：  10
答案1372：  3662/2739
答案1373：  -6710/93
答案1374：  621/611
答案1375：  1
答案1376：  -2417/81
答案1377：  60
答案1378：  175/13
答案1379：  7065/74
答案1380：  4075/97
答案1381：  871/3290
答案1382：  129
答案1383：  5023/2727
答案1384：  28/11
答案1385：  27
答案1386：  309/1276
答案1387：  3133/1653
答案1388：  1219/15
答案1389：  1634/3657
答案1390：  1/3
答案1391：  2448/49
答案1392：  767/10
答案1393：  3162/95
答案1394：  -11
答案1395：  1
答案1396：  1/9
答案1397：  -12
答案1398：  293/285
答案1399：  3/14
答案1400：  7007/90
答案1401：  637/9
答案1402：  3712
答案1403：  1290/59
答案1404：  9
答案1405：  4/79
答案1406：  1792/1209
答案1407：  -13/210
答案1408：  3089/42
答案1409：  6693/71
答案1410：  6/53
答案1411：  2720/3333
答案1412：  2736/55
答案1413：  119
答案1414：  3/2
答案1415：  850/97
答案1416：  -19
答案1417：  4/11
答案1418：  -34
答案1419：  75/26
答案1420：  6700
答案1421：  158/9
答案1422：  540/11
答案1423：  8036
答案1424：  10433/5980
答案1425：  48
答案1426：  45/52
答案1427：  527/1170
答案1428：  75/2
答案1429：  1/17
答案1430：  -1069/23
答案1431：  128
答案1432：  409/6
答案1433：  3741/101
答案1434：  1302/1739
答案1435：  1235/6231
答案1436：  162
答案1437：  1/1089
答案1438：  -409/31
答案1439：  8
答案1440：  3687/5986
答案1441：  4365/4459
答案1442：  378/8245
答案1443：  1099/45
答案1444：  -43/200
答案1445：  3357/43
答案1446：  12
答案1447：  17/5
答案1448：  3/2
答案1449：  560/79
答案1450：  320/7
答案1451：  72
答案1452：  4343/98
答案1453：  12
答案1454：  112
答案1455：  -65
答案1456：  3
答案1457：  29/9
答案1458：  21
答案1459：  87
答案1460：  39
答案1461：  29/4
答案1462：  3477/82
答案1463：  89
答案1464：  -4201/50
答案1465：  6092/61
答案1466：  792/31
答案1467：  4190/59
答案1468：  163/2
答案1469：  594/31
答案1470：  4049/50
答案1471：  24
答案1472：  4/71
答案1473：  1999/50
答案1474：  -611/14
答案1475：  4425/76
答案1476：  57
答案1477：  -63
答案1478：  5862/95
答案1479：  2144/29
答案1480：  5133
答案1481：  20
答案1482：  448/15
答案1483：  4320
答案1484：  7/34
答案1485：  2296
答案1486：  113
答案1487：  95/13
答案1488：  7/47
答案1489：  1529/63
答案1490：  1146/23
答案1491：  14
答案1492：  377/35
答案1493：  13
答案1494：  101
答案1495：  384/73
答案1496：  1/5
答案1497：  12/7
答案1498：  2426/2139
答案1499：  4312
答案1500：  3778/39
答案1501：  4800/4949
答案1502：  2670
答案1503：  3233/77
答案1504：  8/7
